Molecule ChEMBL ID,Smiles,pIC50,pIC50_std,n_measurements
CHEMBL5095169,CO[C@@H]1CCN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)C[C@@H]1F,8.895,0.5727564927611045,2
CHEMBL5169450,COc1cc(N2CCC(N3CCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,9.676666666666668,0.29501412395567356,3
CHEMBL5169943,CCS(=O)(=O)n1cc2c3ccc(cc31)OCCCCCCOc1cc(c(C3CCCC3)cc1N1CCOCC1)Nc1ncc(Cl)c-2n1,6.78,0.0,1
CHEMBL5170278,Nc1ccc(C#Cc2cc(F)c3c(c2)C(=O)N(C(C(=O)Nc2nccs2)c2ncn4c2CCC4)C3)cn1,6.94,0.0,1
CHEMBL5170519,Cc1c(-c2ccc(N3CCOCC3)cc2)cc(C(F)F)c2cn(C(C(=O)Nc3nccs3)c3ncn4c3CCC43CC3)nc12,8.0,0.0,2
CHEMBL5170653,CCS(=O)(=O)n1cc2c3ccc(cc31)OCCCCCCOc1cc(c(Cl)cc1N1CCOCC1)Nc1ncc(Cl)c-2n1,7.24,0.0,1
CHEMBL5171139,O=C(Nc1nccs1)C(c1ncn2c1CCC2)N1Cc2ccc(C#Cc3cccnc3)cc2C1=O,6.34,0.0,1
CHEMBL5172251,CCc1cc(Nc2ncc(Cl)c(-c3cn(S(=O)(=O)CC)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,7.66,0.0,1
CHEMBL5172338,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1,6.91,0.0,1
CHEMBL5172668,O=C(Nc1nccs1)C(c1ncn2c1CCC2)N1Cc2c(F)cc(C#Cc3ccc(CN4CCCCC4)cc3)cc2C1=O,8.15,0.0,1
CHEMBL5173534,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccnc(Cl)c2)cc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1,6.86,0.0,2
CHEMBL5173979,O=C(Nc1nccs1)C(c1ncn2c1CCC2)N1Cc2c(Cl)cccc2C1=O,8.4,0.0,1
CHEMBL5173986,O=C(Nc1nccs1)C(c1ncn2c1CCC2)N1Cc2ccc(C#Cc3ccccc3)cc2C1=O,7.7,0.0,1
CHEMBL5174109,CN(C)CCN(C)c1ccc(Nc2ncc3cc(CNc4ccccc4)n(C4CCCC4)c3n2)cc1,6.52,0.0,1
CHEMBL5174418,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,9.59,0.0,1
CHEMBL5176897,CCS(=O)(=O)n1cc(-c2nc(Nc3cc(Cl)c(N4CCC(N5CCN(C)CC5)CC4)cc3OC)ncc2Cl)c2ccccc21,8.37,0.0,1
CHEMBL5177023,Cc1c(C#Cc2ccc(CN3CCC(CO)CC3)cc2)cc(C(F)F)c2cn(C(C(=O)Nc3nccs3)c3ncn4c3CCC43CC3)nc12,8.7,0.0,2
CHEMBL5178971,CCN(C)C1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,9.55,0.0,1
CHEMBL5179023,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc2cc(CNc3ccccc3)n(C3CCCC3)c2n1,8.0,0.0,1
CHEMBL5179214,CCS(=O)(=O)n1cc2c3ccc(cc31)OCCCCCCOc1cc(c(C3CC3)cc1N1CCOCC1)Nc1ncc(Cl)c-2n1,7.25,0.0,1
CHEMBL5179288,N#Cc1ccc(O)c(-c2nc(NCc3ncccn3)c3ccccc3n2)c1,6.0600000000000005,0.19798989873223316,2
CHEMBL5179357,CCOC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6nccnc6c5P(C)(C)=O)n4)cc3C)CC2)C1,9.37,0.0,2
CHEMBL5179495,CCS(=O)(=O)n1cc(-c2nc(Nc3cc(C(C)C)c(N4CCC(N5CCN(C)CC5)CC4)cc3OC)ncc2Cl)c2ccccc21,6.32,0.0,1
CHEMBL5180289,CCN1CCN(c2ccc(-c3cc(F)c4cn(C(C(=O)Nc5nccs5)c5ncn6c5CCC6)nc4c3)cc2)CC1,8.15,0.0,1
CHEMBL5180388,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,10.1,0.0,2
CHEMBL5180778,CCS(=O)(=O)n1cc(-c2nc(Nc3cc(Cl)c(N4CCC(N5CCN(C)CC5)CC4)cc3C)ncc2Cl)c2ccccc21,8.8,0.0,1
CHEMBL5180830,O=C1c2cc(F)ccc2Nc2ccccc2N1Cc1ccccc1,7.28,0.0,1
CHEMBL5180839,O=C(Nc1nccs1)C(c1ncn2c1CCC2)N1Cc2c(F)cc(C#Cc3ccc(CN4CCC(CO)CC4)cc3)cc2C1=O,8.3,0.0,2
CHEMBL5180894,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCCN(C)CC2)CC1,9.57,0.0,1
CHEMBL5181437,CCS(=O)(=O)n1cc2c3ccc(cc31)OCCCCCCCCOc1cc(ccc1N1CCOCC1)Nc1ncc(Cl)c-2n1,6.85,0.0,1
CHEMBL5181487,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2cc(CNc3ccccc3)n(C3CCCC3)c2n1,7.26,0.0,1
CHEMBL5181684,CCc1cc(N2CCOCC2)c2cc1Nc1ncc(Cl)c(n1)-c1cn(S(=O)(=O)CC)c3cc(ccc13)OCCCCCCO2,7.49,0.0,1
CHEMBL5183286,CSc1nc(-c2cccc(NC(=O)c3c(F)ccc(O)c3CN3C(=O)c4ccccc4C3=O)c2)c(-c2ccnc(NC(C)=O)c2)[nH]1,7.5,0.0,1
CHEMBL5183324,CC1(C)CCc2c(C(C(=O)Nc3nccs3)N3Cc4c(cc(C#Cc5ccc(CN6CCC(CO)CC6)cc5)cc4C(F)F)C3=O)ncn21,8.4,0.0,1
CHEMBL5183865,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n(C5CCN(C(=O)CO)CC5)c4n3)cc2)CC1,7.39,0.0,1
CHEMBL5184539,O=C(Nc1nccs1)C(c1ncn2c1CCC2)N1Cc2c(cc(C#Cc3ccc(CN4CCC(CO)CC4)cc3)cc2C(F)F)C1=O,8.4,0.0,1
CHEMBL5184760,Cc1c(C#Cc2ccc(CN3CCC(CO)CC3)cc2)cc(C(F)F)c2cn(C(C(=O)Nc3nccs3)c3ncn4c3CCC4)nc12,8.52,0.0,2
CHEMBL5185864,CCS(=O)(=O)n1cc(-c2nc(Nc3cc(C)c(N4CCC(N5CCN(C)CC5)CC4)cc3OC)ncc2Cl)c2ccccc21,8.82,0.0,1
CHEMBL5185922,CCS(=O)(=O)n1cc(-c2nc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)c(Cl)c3)ncc2Cl)c2ccccc21,7.84,0.0,1
